Name_ID,Rating_ID,Comments,Specialist_ID,Address
Puducherry Diabetes Foundat..,3.9,Very good,Doctors For Dengue Fever Treatment,Morehvr
L K Nursing Home,4.3,Excellent,Doctors For Dengue Fever Treatment,"  No:25, Rajarajeswari nagar, Venkata Nagar, Pondicherry - 605011, Near Children Park"
East Coast Hospitals,4.1,Excellent,Doctors For Dengue Fever Treatment,"  No 370, 2nd Main Road Mahaveer Nagar, Lawspet, Pondicherry - 605008, Near Lawspet Police Station"
Delta Q Labs,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 1, Perambai Road, Moolakulam, Pondicherry - 605010, Near Vasantharaja Cinema Hall, Paris Nagar"
Clinic Nallam,4.1,Excellent,Doctors For Dengue Fever Treatment,"  No 36/A, Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004, Near Communist Party Office"
Cosmic Consciousness,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 86, Eswaran Kovil Street, Pondicherry - 605001, Near Easwaran Kovil"
Dr. Narendra Agarawal,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 4, 7th Street, Lawspet Pondicherry, Pondicherry - 605008, Kumaran Nagar Near Cluny School"
First Step Home Healthcare,4.9,Excellent,Doctors For Dengue Fever Treatment,"  122, west car street, Villianur, Pondicherry - 605110, opposite to icici atm"
Dr. Uma Maheshwari S,4.8,Excellent,Doctors For Dengue Fever Treatment,"  No 169D, Sundaraju Chettiar Complex Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004"
Dr. Arnabdey,4.7,Excellent,Doctors For Dengue Fever Treatment,"  No 2/A, New Street, Puthupet, Rajaji Nagar, Lawspet Pondicherry, Pondicherry - 605008"
Dr. Rajarathinam r,4.5,Excellent,General Physician Doctors,"  No 315, Mission Street, Puducherry H O, Pondicherry - 605001"
Sri Manakula Vinayagar Medi..,4.5,Excellent,General Physician Doctors,"  Grr Complex, Maraimalai Adigal Salai, Pondicherry - 605001"
Dr. Roshini Menon,4.5,Excellent,General Physician Doctors,"  Pondicherry-Villupuram Main Road, Pondicherry - 605001, Kalitheerthalkuppam Madagadipet"
Puduvai Life Line Hospital,4.4,Excellent,General Physician Doctors,"  No 34 1st Floor Plot No-146dr Roshni's Skin & Hair Speciality Centre, 100 Feet Road Cuddalore Road, Reddiar Palayam, Pondicherry - 605010, Natesan Nagar Near I G Statue"
Dr. Ayyappan K,4.4,Excellent,General Physician Doctors,"  No 36 A, Airport Main Road, Lawspet, Pondicherry - 605008"
Dr. Pandian S,4.4,Excellent,General Physician Doctors,"  No 211, Bussy Street, Pondicherry - 605001"
East Coast Hospitals Ltd,4.6,Excellent,General Physician Doctors,"  No 34-B, Cuddalore HO, PONDICHERRY - 607001, Rajambal Nagar"
Aum Hospitals,4.3,Excellent,General Physician Doctors,"  No 90, Thiruvalluvar Salai, Saram, Pondicherry - 605013, Near Naveena Theatre GardenPillai Thottam"
Sedhu Nursing Home,4.3,Excellent,General Physician Doctors,"  No 1, Cholai Nagar Main Road, Muthialpet, Pondicherry - 605003, Sapthagiri Garden Opposite Chinaathal School"
Dr. Udhayakumar,4.3,Excellent,General Physician Doctors,"  No 130, Perumal Koil Street, Bharathi Street-venkata Nagar, Pondicherry - 605001, Near Anandha Inn"
Dr. Dhandapani N L,4.2,Excellent,General Physician Doctors,"  No 230 Naveiranj Skin Clinic, Lenin Street, Saram, Pondicherry - 605013, Kosapalayam"
Dr. Murali r,4.2,Excellent,General Physician Doctors,"  No 44, Mettu Street, Kosapalayam, Pondicherry - 605013"
New Medical Centre,4.1,Excellent,General Physician Doctors,"  No 77, Ambedkar Salai, Nellithope, Pondicherry - 605005"
St Joseph Cluny Hospital,4.1,Excellent,General Physician Doctors,"  No 159 &161, Bussy Street, Pondicherry - 605001, Near Chinna Manikoondu"
Ashwini Maternity Hospital,4.1,Excellent,General Physician Doctors,"  No 16, Roam Rolland Street, Pondicherry - 605001"
Dr. Vasudevan P l,4.1,Excellent,General Physician Doctors,"  No 90, Vazhudavur Main Road, Thattanchavadi, Pondicherry - 605009, Vvp Nagar"
Pondicherry Institute Of Me..,4.0,Very good,General Physician Doctors,"  No 216, Bussy Street, Pondicherry - 605001, Opposite Anjappar Hotel"
Government General Hospital,4.0,Very good,General Physician Doctors,"  Pondicherry University, Pondicherry - 605014, Ganapathichettikulam Kalathumettupathai Kalapet"
Dr. Vijayakumari R,4.0,Very good,General Physician Doctors,"  Ambour Salai, Pondicherry - 605001"
A G Padmavathi Hospital Pvt..,3.9,Very good,General Physician Doctors,"  No 6o, 4th Cross Street, Venkata Nagar, Pondicherry - 605011, velsokkanatham kalyana mandapam"
Sri Arunachalam Hospital,3.9,Very good,General Physician Doctors,"  No R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
Sri Venkateshwara Hospital,3.8,Very good,General Physician Doctors,"  No 205, Chinna Subrayapillai Street, Pondicherry - 605001, Opposite Kamban Kalai Arangam"
Dr. Radha Krishnan b,3.8,Very good,General Physician Doctors,"  No 13 A, Pondy Villupuram Main Road, Ariyur, Pondicherry - 605003, Ariyur 605102 villupuram"
Be Well Hospitals,3.7,Very good,General Physician Doctors,"  No 179, Bussy Street, Pondicherry - 605001"
Dr. Nirmala Babu,3.5,Very good,General Physician Doctors,"  No 15, East Coast Road, Lawspet Pondicherry, Pondicherry - 605008, Green Gardens"
Sri Krishna Nursing Home,3.9,Very good,General Physician Doctors,"  Sathani Street, Mudaliarpet, Pondicherry - 605004, Kuyavarpalayam"
Dr. Vasudevaiah V,4.3,Excellent,General Physician Doctors,"  No 76, Lenin Street, Saram, Pondicherry - 605013, Kosapalayam"
Santhigiri Ayurveda & Siddh..,4.1,Excellent,General Physician Doctors,"  No 181, Bussy Street, Pondicherry - 605001, Near Aruna Lab"
Dr. Uma Maheshwaran,4.1,Excellent,General Physician Doctors,"  No 6 B Block Devi Appartments, S V Patel Salai, Pondicherry - 605001, near achiyar school"
Dr. Lakshmipathi k,4.8,Excellent,General Physician Doctors,"  Sri Arunachalam Hospital, Chinnasuburaya Pillai Street, Pondicherry - 605001"
Brain Nerve & Muscle Center,2.8,Good,General Physician Doctors,"  No 143 Lakshmi Ortho Clinic, Bussy Street, Pondicherry - 605001, Near Manikoondu"
Dr. Selvalingam e,4.7,Excellent,General Physician Doctors,"  No 3, Library Street, Saram, Pondicherry - 605013, Kuyavarpalayam Near Thiruvalluvar Salai Cutting"
Dr. Augustine Paul R m,5.0,Excellent,General Physician Doctors,"  No 201, Bussy Street, Pondicheery, Pondicherry - 605001"
Annai Eye Care Clinic,5.0,Excellent,General Physician Doctors,"  No 19, Villianur Road, Nellithope, Pondicherry - 605005, Victoria Nagar Opposite Aryas Hotel & Near Casino Bakery"
Dr. Murugesan n,4.3,Excellent,General Physician Doctors,"  No 14, Perumal Koil Street, Villianur, Pondicherry - 605110, Near Perumal Koil"
Dr. Jawahar Babu M k,3.5,Very good,General Physician Doctors,"  No 133, 100 Feet Road, Nellithope, Pondicherry - 605005, Natesan Nagar"
Dr. Gunasekaran m,3.1,Very good,General Physician Doctors,"  No 102, Kasturibai Nagar, Thattanchavadi, Pondicherry - 605009, Near SI Steel Hardware Shop"
Dr. Usha Karthikeyan,3.5,Very good,General Physician Doctors,"  No 6 B, Vazhudavur Road, Thattanchavadi, Pondicherry - 605009, Gandhi Nagar"
Dr. Atul M Bage,3.7,Very good,General Physician Doctors,"  No 73, Kamatchi Amman Koil Street, Pondicherry - 605001"
Dr. Sree Ramulu Reddy Cmv,4.0,Very good,General Physician Doctors,"  No 215, Bussy Street, Puducherry H O, Pondicherry - 605001"
St Marys Eye Care,4.4,Excellent,General Physician Doctors,"  No 125, Lalbahadur Sastry Street, Pondicherry - 605001"
Jayakodi Hospitals,4.8,Excellent,General Physician Doctors,"  No 58, Bussy Street, Puducherry H O, Pondicherry - 605001"
Dr. Namachivayam V,4.8,Excellent,General Physician Doctors,"  No:211A, TV Malai Road, Tirukannur, Pondicherry - 605501"
Shree Varma Hospitals,3.7,Very good,General Physician Doctors,"  No 14-A, Bashiam Reddy Street, Cuddalore HO, PONDICHERRY - 607001"
Dr. Venkateswaralou N,4.5,Excellent,General Physician Doctors,"  No 12, Goubert Avenue, Pondicherry - 605001, Beach Road"
Pondy Surgical Center,4.5,Excellent,General Physician Doctors,"  No 478, Bharathi Street, Pondicherry - 605001, Near Rosema Kalyana Mandapam"
Dr. Sachidhanandham,4.1,Excellent,General Physician Doctors,"  No 305, Bharathiyar Street, Lawspet, Pondicherry - 605008, Near St Cluny School Ashok Nagar"
Dr. Jayanthi Gurumurthy,5.0,Excellent,General Physician Doctors,"  No 392, Bharathi Street, Pondicherry - 605001"
Dr. Buvanaratchagan A,4.0,Very good,General Physician Doctors,"  No 59, Thanthai Periyar Nagar, Nellithope, Pondicherry - 605005"
Dr. Nethaji l,2.8,Good,General Physician Doctors,"  No:384, Bussy Street,, Pondicherry - 605001, Opp to Anjappar Hotel,Jeyam Medical."
Dr. Hemalatha,4.0,Very good,General Physician Doctors,"  No 105, M G Road, Muthialpet, Pondicherry - 605003"
Dr. Nellian A R,3.4,Very good,General Physician Doctors,"  M G Road, Muthialpet, Pondicherry - 605003"
Dr. Sivadhasan,4.4,Excellent,General Physician Doctors,"  No 2, Police Street, Mudaliarpet, Pondicherry - 605004"
Dr. Muthaiyan r,5.0,Excellent,General Physician Doctors,"  No 96, Bussy Street, Puducherry H O, Pondicherry - 605001"
Dr. Chitra Banu,3.1,Very good,General Physician Doctors,"  No 194, Bussy Street, Pondicherry - 605001"
Dr. Dumont M A,4.3,Very good,General Physician Doctors,"  No 90 Ashwini Maternity Hospital, Vazhudavur Main Road, Thattanchavadi, Pondicherry - 605009, Vvp Nagar"
Dharmarajan Vaidya Salai,3.6,Very good,General Physician Doctors,"  No 109, Reddiar Palayam, Pondicherry - 605010"
Dr. Shyamala,5.0,Excellent,General Physician Doctors,"  No 278-A, Maraimalai Adigal Salai, Kosapalayam, Pondicherry - 605013, Near New Bus Stop Near Nellithopu Signal"
Dr. Shanthi Michael,4.4,Excellent,General Physician Doctors,"  A G Padmavathi Hospital R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
Sri Ramachandra Hospital In..,4.0,Very good,General Physician Doctors,"  Sri Arunachalam Hospital, Chinnasuburaya Pillai Street, Pondicherry - 605001"
Dr. Nallam p,4.4,Excellent,General Physician Doctors,"  No 160, Busssy street, Pondicherry - 605001, Near chinnakadai"
Sivagangai Eye Clinic & Opt..,5.0,Excellent,General Physician Doctors,"  No 122, Bussy Street, Puducherry H O, Pondicherry - 605001"
Dr. Narayana Swamy m,4.5,Excellent,General Physician Doctors,"  No 225/F, Chetty Street, Pondicherry - 605001"
Dr. Jayaveerakumar t,5.0,Excellent,General Physician Doctors,"  Muthialpet, Pondicherry - 605003, Near Government Of Puducherry Institution Opposite Mahathma Gandhi College Road"
Dr. Uma Shankar v,4.3,Excellent,General Physician Doctors,"  No 18/2, Nellikuppam Road, Cuddalore HO, PONDICHERRY - 607001"
Gnanam Medical & Clinic,5.0,Excellent,General Physician Doctors,"  No 430, Vazhudavur Main Road, Thattanchavadi, Pondicherry - 605009, Muthirapalayam Near Aruna Medicals"
Raghu Eye Clinic,5.0,Excellent,General Physician Doctors,"  No:49, Villainur Main Road, Pavazha Nagar, Nellithope, Pondicherry - 605005, Opp to Ezhainagathamman Kovil"
Dr. Puviarasan l,5.0,Excellent,General Physician Doctors,"  Pillaitottam, Pondicherry - 605013"
Tiru Medical Center,4.9,Excellent,General Physician Doctors,"  No 59, M M Koil Street, Nellithope, Pondicherry - 605005, Orleanpet"
Dr. Baskar k,3.5,Very good,General Physician Doctors,"  133, 100 Feet Road, Mudaliarpet, Pondicherry - 605004, Between RTO Office and Sunway Manor GRT Hotel"
Kamala Nursing Home,3.0,Good,General Physician Doctors,"  No 63 1st Floor, Mariamman Koil Street, Lawspet, Pondicherry - 605008, Kottupalayam"
Dr. Chandra Mouli Y v,4.5,Excellent,General Physician Doctors,"  No 66, Kandappa Mudali Street, Puducherry H O, Pondicherry - 605001"
Dr. Sheik Anwar Hussain,4.5,Excellent,General Physician Doctors,"  No 401, M G Road, Puducherry H O, Pondicherry - 605001"
Dr. Varalakshmi,2.3,Good,General Physician Doctors,"  A G Padmavathi Hospital R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
Visalakshmi Dental Health &..,3.5,Very good,General Physician Doctors,"  A G Padmavathi Hospital R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
Dr. Anatharaman v,4.8,Excellent,General Physician Doctors,"  No 2/2, Vallalar Salai 45 Feet Road, Venkata Nagar, Pondicherry - 605011"
DR. Subramanyan Serral,2.5,Good,General Physician Doctors,  Pondicherry - 605001
Tresor Nursing Home,3.5,Very good,General Physician Doctors,"  Govt General Hospital, Pondicherry - 605001, Near Park"
Dr. Indra Srinivasan,4.5,Excellent,General Physician Doctors,"  No 9, St Louis Street, Pondicherry - 605001"
Dr. Anandavel b,5.0,Excellent,General Physician Doctors,"  No 3, Rue Suffren Street, Pondicherry - 605003"
Dr. Thiru Selvam e,5.0,Excellent,General Physician Doctors,"  No 77, 3rd Cross 45 Feet Road Corner, Venkata Nagar, Pondicherry - 605011"
Dr.narendra Agarwal Clinic,5.0,Excellent,General Physician Doctors,"  No 3, Vazhaikulam, Padmini Nagar, Pondicherry - 605110"
Dr. Ranjini Krishnan,4.0,Excellent,General Physician Doctors,"  120, West car street, Villianur, Pondicherry - 605110, Opposite to ICICI ATM"
Dr. Sankar K,4.5,Excellent,General Physician Doctors Exp: 35 yrs Fee: 100~150 INR,"  No 2, Wigil Mier Street, Cuddalore Ho, PONDICHERRY - 607001"
Dr. Narayanan m,5.0,Excellent,General Physician Doctors,"  No 209-A, Nethaji Road, Cuddalore HO, PONDICHERRY - 607001"
Dr. Kathimathi r,5.0,Excellent,General Physician Doctors,"  No 169-B, Nethaji Road, Cuddalore HO, PONDICHERRY - 607001"
Dr. Manavalan,4.0,Excellent,General Physician Doctors,"  No 110, Bazaar Street, Chidambaram H O, PONDICHERRY - 608001"
Dr. Krishnagopal r,4.0,Excellent,General Physician Doctors,"  No 127, S P Koil Street, Chidambaram H O, PONDICHERRY - 608001"
Dr. Saravanan K Padmanabhan,5.0,Excellent,General Physician Doctors,"  No 180, Lalbahadur Sastri Street, Puducherry H O, Pondicherry - 605001"
Dr. Monica Thalal,5.0,Excellent,Nephrologists,"  No 26, Perumal Koil Street, Puducherry H O, Pondicherry - 605001"
MVR Medical Centre,4.3,Excellent,Nephrologists,"  No 32 A Sri Venkateshwara Hospital, Pondy Villupuram Main Road, Pondicherry - 605001, Ariyur"
East Coast Hospitals,4.1,Excellent,Nephrologists,"  No 12 And13, ECR Main Road Karuvadikuppam, Lawspet Pondicherry, Pondicherry - 605008, Near Sivaji Statue"
Delta Q Labs,5.0,Excellent,Nephrologists,"  No 1, Perambai Road, Moolakulam, Pondicherry - 605010, Near Vasantharaja Cinema Hall, Paris Nagar"
Sri Venkateshwaraa Medical ..,4.1,Excellent,Nephrologists,"  No 36/A, Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004, Near Communist Party Office"
Jipmer Hospital,4.3,Excellent,Nephrologists,"  13 A, Pondicherry Villupuram Main Road Ariyur, Pondicherry - 605001, Ariyur"
Pondicherry Institute Of Me..,4.0,Excellent,Nephrologists,"  Dhanvantri Nagar, Pondicherry - 605006, Gorimedu"
Rani Hospital,4.0,Excellent,Nephrologists,"  Pondicherry University, Pondicherry - 605014, Ganapathichettikulam Kalathumettupathai Kalapet"
Be Well Hospitals,3.7,Very good,Nephrologists,"  No 27, Vazhudhavur Road, Thattanchavadi, Pondicherry - 605009, Near Rajiv Gandhi Statue"
Aum Hospitals,4.3,Excellent,Nephrologists,"  No 15, East Coast Road, Lawspet Pondicherry, Pondicherry - 605008, Green Gardens"
Davita Care India Ltd,4.7,Excellent,Nephrologists,"  No 1, Cholai Nagar Main Road, Muthialpet, Pondicherry - 605003, Sapthagiri Garden Opposite Chinaathal School"
Sri Manakula Vinayagar Medi..,4.5,Excellent,Nephrologists,"  No 1,Saptagiri, Solai Nagar Main Road, Muthialpet, Pondicherry - 605003"
Kidney Centre Hospital,4.1,Excellent,Nephrologists,"  Pondicherry-Villupuram Main Road, Pondicherry - 605001, Kalitheerthalkuppam Madagadipet"
Sri Venkateshwara Hospital,3.8,Very good,Nephrologists,"  no;206, anna salai, Pondicherry - 605001, opp botanical garden near sbi bank near farmer market"
Dr. Murugesan n,4.3,Excellent,Nephrologists,"  No 13 A, Pondy Villupuram Main Road, Ariyur, Pondicherry - 605003, Ariyur 605102 villupuram"
Neomed Hospital(Dr Sivabala..,0.5,Very Poor,Nephrologists,"  No 133, 100 Feet Road, Nellithope, Pondicherry - 605005, Natesan Nagar"
Herbocare Hospital Pvt Ltd,4.3,Excellent,Nephrologists,"  no 58b bharathi street thiruvalluvar nagar, Bharathi Street-venkata Nagar, Pondicherry - 605003"
Pondicherry Kidney Foundati..,4.1,Excellent,Nephrologists,"  No 11, 1st Street, Pondicherry - 605001, Near Muruga Theatre Bus Stop & Old Collector Office, Gnanaprakasam Nagar"
Dr. Kumar,4.3,Excellent,Nephrologists,"  C/O Kidney Centre 470, Mahatma Gandhi Road, Pondicherry., Pondicherry Bazaar, Pondicherry - 605001, New Medical Centre Premises"
Dr. Narayan,4.1,Excellent,Nephrologists,"  No 1 Sabthagiri Gardens Davita Nephrolife, Solai Nagar Main Road, Lawspet, Pondicherry - 605008, Muthialpet"
Dr. Narayan (Davita Care In..,3.9,Very good,Nephrologists,"  No 1 Sabthagiri Gardens Davita Nephrolife, Solai Nagar Main Road, Lawspet, Pondicherry - 605008, Muthialpet"
Dr. Gopal Rabindranath (eas..,4.5,Excellent,Nephrologists,"  C/O Davita Care India Ltd No 1 Sabthagiri Gardens, Solai Nagar Main Road, Muthialpet, Pondicherry - 605003"
Dr. Murugesan N (East Coast..,4.1,Excellent,Nephrologists,"  No 1, Moolakulam, Pondicherry - 605010, Paris Nagar Near Vasantha Raja Cinema Hall"
Dr. K Narayanan (Kidney Cen..,3.8,Very good,Nephrologists,"  C/O East Coast Hospitals No 1, Moolakulam, Pondicherry - 605010, Near Vasantha Raja Theatre, Paris Nagar"
Dr. Kumar (Davita Care Indi..,4.3,Excellent,Nephrologists,"   206, Annasalai, White Town, Pondicherry - 605001"
Dr.Hemachandar R,4.4,Excellent,Nephrologists,"  C/o Davita Care India Ltd No 1 Sabthagiri Gardens, Solai Nagar Main Road, Muthialpet, Pondicherry - 605003"
Dr. Rabundranath g,4.5,Excellent,Nephrologists,"  Bahoor, Pondicherry - 607402"
Krishna Hospital,4.1,Excellent,Nephrologists,"  No 194, Lalbhadur Shasttri Street, Pondicherry Ho, - 605001 (Also serves PONDICHERRY)"
Sun Pharmacy,4.3,Excellent,Nephrologists,"  No 17 A, Hospital Road, Cuddalore - 607001 (Also serves PONDICHERRY)"
Vasista Ayurveda,4.1,Excellent,Nephrologists,"  No 3/5, Main Bazaar, Block 19 and Also In Indira Nagar, Neyveli Town Ship, Neyveli - 607801, Near Icici Bank (Also serves PONDICHERRY)"
Lavanya Ayurvedic Hospital ..,3.9,Very good,Nephrologists,"   5410, Old housing board colony, Ravindra Nagar Hassan, Hassan - 573201, Near Ravindra park (Also serves PONDICHERRY)"
Sri Manakula Vinayagar Medi..,4.5,Excellent,Nephrologists,"  3rd Floor, Bansal Complex, Faizabad Road, Indira Nagar, Lucknow - 226016, Near Neelgiri Chauraha (Also serves PONDICHERRY)"
Kidney Centre Hospital,4.1,Excellent,Nephrologists,"  Pondicherry-Villupuram Main Road, Pondicherry - 605001, Kalitheerthalkuppam Madagadipet"
Sri Venkateshwara Hospital,3.8,Very good,Nephrologists,"  no;206, anna salai, Pondicherry - 605001, opp botanical garden near sbi bank near farmer market"
Dr. Murugesan n,4.3,Excellent,Nephrologists,"  No 13 A, Pondy Villupuram Main Road, Ariyur, Pondicherry - 605003, Ariyur 605102 villupuram"
Neomed Hospital(Dr Sivabala..,0.5,Very Poor,Nephrologists,"  No 133, 100 Feet Road, Nellithope, Pondicherry - 605005, Natesan Nagar"
Herbocare Hospital Pvt Ltd,4.3,Excellent,Nephrologists,"  no 58b bharathi street thiruvalluvar nagar, Bharathi Street-venkata Nagar, Pondicherry - 605003"
Pondicherry Kidney Foundati..,4.4,Excellent,Nephrologists,"  No 11, 1st Street, Pondicherry - 605001, Near Muruga Theatre Bus Stop & Old Collector Office, Gnanaprakasam Nagar"
Dr. Kumar,4.6,Excellent,Nephrologists,"  C/O Kidney Centre 470, Mahatma Gandhi Road, Pondicherry., Pondicherry Bazaar, Pondicherry - 605001, New Medical Centre Premises"
Dr. Narayan,4.1,Excellent,Nephrologists,"  No 1 Sabthagiri Gardens Davita Nephrolife, Solai Nagar Main Road, Lawspet, Pondicherry - 605008, Muthialpet"
Dr. Narayan (Davita Care In..,4.3,Excellent,Nephrologists,"  No 1 Sabthagiri Gardens Davita Nephrolife, Solai Nagar Main Road, Lawspet, Pondicherry - 605008, Muthialpet"
Dr. Gopal Rabindranath (eas..,4.1,Excellent,Nephrologists,"  C/O Davita Care India Ltd No 1 Sabthagiri Gardens, Solai Nagar Main Road, Muthialpet, Pondicherry - 605003"
Dr. Murugesan N (East Coast..,3.9,Very good,Nephrologists,"  No 1, Moolakulam, Pondicherry - 605010, Paris Nagar Near Vasantha Raja Cinema Hall"
Dr. K Narayanan (Kidney Cen..,4.5,Excellent,Nephrologists,"  C/O East Coast Hospitals No 1, Moolakulam, Pondicherry - 605010, Near Vasantha Raja Theatre, Paris Nagar"
